sector,district,current_employment,projected_employment_2yr,growth_rate_percent,key_roles_in_demand,skills_gap_percent,avg_salary_offered,training_alignment_score,employer_satisfaction_score,hiring_intent_next_quarter,technology_adoption_level,automation_risk,green_jobs_potential,last_survey_date
IT & Software Services,Mumbai,11778,13357,13.41,Software Developer; Data Analyst; Cloud Engineer; DevOps Engineer; Cybersecurity Analyst,43.21,118924,77.53,40.35,Low,Emerging,Low,High,2026-06-16
IT & Software Services,Satara,2036,2497,22.65,Software Developer; Data Analyst; Cloud Engineer; DevOps Engineer; Cybersecurity Analyst,43.26,136082,38.97,52.98,No Change,Basic,High,Medium,2026-07-07
IT & Software Services,Beed,15078,17563,16.49,Software Developer; Data Analyst; Cloud Engineer; DevOps Engineer; Cybersecurity Analyst,46.16,70802,81.35,54.7,Low,Advanced,High,Low,2026-04-14
IT & Software Services,Yavatmal,17048,20490,20.2,Software Developer; Data Analyst; Cloud Engineer; DevOps Engineer; Cybersecurity Analyst,19.04,115237,75.9,63.96,High,Advanced,Low,Medium,2026-07-20
IT & Software Services,Osmanabad,30457,36794,20.81,Software Developer; Data Analyst; Cloud Engineer; DevOps Engineer; Cybersecurity Analyst,51.97,91738,79.91,67.05,Low,Emerging,Medium,Medium,2026-07-14
IT & Software Services,Raigad,2326,2889,24.25,Software Developer; Data Analyst; Cloud Engineer; DevOps Engineer; Cybersecurity Analyst,42.71,130397,32.8,62.1,No Change,Advanced,Low,Medium,2026-05-05
IT & Software Services,Ratnagiri,44137,50144,13.61,Software Developer; Data Analyst; Cloud Engineer; DevOps Engineer; Cybersecurity Analyst,39.12,132203,50.14,41.59,No Change,Moderate,Medium,Low,2026-08-22
IT & Software Services,Sindhudurg,21479,24438,13.78,Software Developer; Data Analyst; Cloud Engineer; DevOps Engineer; Cybersecurity Analyst,17.13,85207,38.71,76.8,Medium,Emerging,High,Medium,2026-04-23
IT & Software Services,Wardha,1869,2181,16.72,Software Developer; Data Analyst; Cloud Engineer; DevOps Engineer; Cybersecurity Analyst,30.03,112716,43.9,55.4,Low,Basic,Medium,High,2026-05-12
IT & Software Services,Washim,14056,16093,14.5,Software Developer; Data Analyst; Cloud Engineer; DevOps Engineer; Cybersecurity Analyst,23.92,47257,37.72,81.35,Low,Advanced,High,Low,2026-04-20
IT & Software Services,Gondia,32265,39267,21.7,Software Developer; Data Analyst; Cloud Engineer; DevOps Engineer; Cybersecurity Analyst,48.7,141703,80.05,76.69,Medium,Basic,Medium,Medium,2026-06-25
IT & Software Services,Bhandara,20721,24577,18.61,Software Developer; Data Analyst; Cloud Engineer; DevOps Engineer; Cybersecurity Analyst,46.6,123389,31.71,87.4,Medium,Advanced,Low,Low,2026-05-02
IT & Software Services,Gadchiroli,8808,10406,18.15,Software Developer; Data Analyst; Cloud Engineer; DevOps Engineer; Cybersecurity Analyst,47.03,116577,56.62,81.03,High,Basic,Low,High,2026-03-19
IT & Software Services,Hingoli,7078,7995,12.97,Software Developer; Data Analyst; Cloud Engineer; DevOps Engineer; Cybersecurity Analyst,58.59,54290,74.48,64.26,High,Emerging,High,Low,2026-06-03
IT & Software Services,Nandurbar,7178,8462,17.9,Software Developer; Data Analyst; Cloud Engineer; DevOps Engineer; Cybersecurity Analyst,27.92,143876,39.77,65.24,High,Advanced,Low,Medium,2026-03-15
Manufacturing,Mumbai,26496,29599,11.71,Machine Operator; Quality Analyst; Fitter; Welder; Production Supervisor,53.87,21873,64.12,89.25,High,Basic,High,High,2026-08-24
Manufacturing,Pune,46241,49318,6.65,Machine Operator; Quality Analyst; Fitter; Welder; Production Supervisor,33.4,34343,71.57,70.4,Low,Emerging,Low,Medium,2026-08-23
Manufacturing,Nagpur,33938,38363,13.04,Machine Operator; Quality Analyst; Fitter; Welder; Production Supervisor,58.8,18729,55.03,76.43,No Change,Basic,Low,Low,2026-06-15
Manufacturing,Thane,1051,1134,7.97,Machine Operator; Quality Analyst; Fitter; Welder; Production Supervisor,57.6,22095,55.1,78.3,No Change,Basic,Low,High,2026-06-22
Manufacturing,Nashik,20795,23218,11.66,Machine Operator; Quality Analyst; Fitter; Welder; Production Supervisor,53.9,40179,70.41,47.56,No Change,Emerging,Medium,Medium,2026-06-30
Manufacturing,Aurangabad,46293,50203,8.45,Machine Operator; Quality Analyst; Fitter; Welder; Production Supervisor,19.48,48417,42.09,85.06,Medium,Emerging,Medium,High,2026-07-19
Manufacturing,Solapur,45039,50393,11.89,Machine Operator; Quality Analyst; Fitter; Welder; Production Supervisor,40.73,31898,58.6,87.9,Low,Basic,Medium,Low,2026-07-29
Manufacturing,Amravati,24370,27275,11.92,Machine Operator; Quality Analyst; Fitter; Welder; Production Supervisor,30.97,28641,49.01,56.04,Medium,Basic,High,High,2026-06-04
Manufacturing,Kolhapur,1502,1714,14.17,Machine Operator; Quality Analyst; Fitter; Welder; Production Supervisor,55.23,40841,65.31,52.18,No Change,Moderate,High,Low,2026-04-24
Manufacturing,Sangli,9852,10724,8.85,Machine Operator; Quality Analyst; Fitter; Welder; Production Supervisor,18.79,19630,48.61,60.71,High,Basic,High,Medium,2026-06-30
Manufacturing,Jalgaon,18756,20189,7.64,Machine Operator; Quality Analyst; Fitter; Welder; Production Supervisor,35.51,30851,75.99,73.6,Medium,Advanced,Medium,High,2026-07-26
Manufacturing,Akola,10256,10907,6.35,Machine Operator; Quality Analyst; Fitter; Welder; Production Supervisor,25.74,19604,43.1,41.26,Low,Emerging,Low,Low,2026-04-15
Manufacturing,Latur,12290,13843,12.64,Machine Operator; Quality Analyst; Fitter; Welder; Production Supervisor,33.39,27628,77.77,47.34,Medium,Advanced,Medium,High,2026-05-26
Manufacturing,Dhule,12615,13834,9.67,Machine Operator; Quality Analyst; Fitter; Welder; Production Supervisor,17.17,18612,31.03,67.54,No Change,Advanced,High,Low,2026-03-13
Manufacturing,Ahmednagar,40428,42561,5.28,Machine Operator; Quality Analyst; Fitter; Welder; Production Supervisor,44.29,29283,55.78,75.62,Low,Moderate,High,High,2026-07-21
Manufacturing,Chandrapur,23572,26262,11.41,Machine Operator; Quality Analyst; Fitter; Welder; Production Supervisor,42.3,20283,45.25,56.3,Low,Moderate,Medium,Medium,2026-07-26
Manufacturing,Parbhani,18472,20500,10.98,Machine Operator; Quality Analyst; Fitter; Welder; Production Supervisor,57.06,16161,42.17,51.66,Medium,Moderate,Low,High,2026-06-27
Manufacturing,Jalna,33837,35592,5.19,Machine Operator; Quality Analyst; Fitter; Welder; Production Supervisor,29.9,22499,83.85,52.7,High,Emerging,Medium,Low,2026-08-18
Manufacturing,Bhiwandi,47010,50504,7.43,Machine Operator; Quality Analyst; Fitter; Welder; Production Supervisor,28.1,15869,46.61,78.02,Medium,Basic,High,Low,2026-04-29
Manufacturing,Nanded,49020,53443,9.02,Machine Operator; Quality Analyst; Fitter; Welder; Production Supervisor,39.98,41696,57.45,52.47,Low,Basic,High,Low,2026-08-22
Manufacturing,Satara,21133,23613,11.74,Machine Operator; Quality Analyst; Fitter; Welder; Production Supervisor,34.91,31968,35.16,76.68,Low,Emerging,Medium,Low,2026-05-01
Manufacturing,Beed,13887,14676,5.68,Machine Operator; Quality Analyst; Fitter; Welder; Production Supervisor,42.44,21483,50.35,41.61,No Change,Emerging,Low,High,2026-03-29
Manufacturing,Yavatmal,25110,27952,11.32,Machine Operator; Quality Analyst; Fitter; Welder; Production Supervisor,26.21,44349,55.96,63.0,Medium,Moderate,Low,High,2026-05-22
Manufacturing,Osmanabad,17790,19890,11.81,Machine Operator; Quality Analyst; Fitter; Welder; Production Supervisor,42.71,49220,78.42,84.77,Medium,Advanced,Low,Low,2026-04-28
Manufacturing,Raigad,1632,1769,8.45,Machine Operator; Quality Analyst; Fitter; Welder; Production Supervisor,31.91,43941,38.38,41.9,High,Advanced,High,Low,2026-08-07
Manufacturing,Ratnagiri,13421,14355,6.96,Machine Operator; Quality Analyst; Fitter; Welder; Production Supervisor,35.62,27511,83.02,68.23,Low,Moderate,High,High,2026-03-22
Manufacturing,Sindhudurg,35003,37100,5.99,Machine Operator; Quality Analyst; Fitter; Welder; Production Supervisor,35.22,43813,30.11,53.11,Low,Basic,Low,Low,2026-05-19
Manufacturing,Wardha,13025,14543,11.66,Machine Operator; Quality Analyst; Fitter; Welder; Production Supervisor,26.14,28254,59.29,53.61,High,Moderate,High,High,2026-08-12
Manufacturing,Washim,20758,22561,8.69,Machine Operator; Quality Analyst; Fitter; Welder; Production Supervisor,49.74,23647,48.71,43.27,Low,Moderate,Low,High,2026-04-16
Manufacturing,Gondia,5242,5625,7.32,Machine Operator; Quality Analyst; Fitter; Welder; Production Supervisor,29.16,26569,45.32,41.84,High,Basic,Low,Low,2026-08-23
Manufacturing,Bhandara,43182,48368,12.01,Machine Operator; Quality Analyst; Fitter; Welder; Production Supervisor,57.35,27248,58.87,84.24,Low,Emerging,Low,Low,2026-06-17
Manufacturing,Gadchiroli,39986,42271,5.71,Machine Operator; Quality Analyst; Fitter; Welder; Production Supervisor,36.67,24131,77.22,77.51,High,Moderate,High,Low,2026-05-26
Manufacturing,Hingoli,26285,29322,11.56,Machine Operator; Quality Analyst; Fitter; Welder; Production Supervisor,33.94,22791,39.52,78.37,No Change,Emerging,Medium,Low,2026-04-04
Manufacturing,Nandurbar,35986,39745,10.45,Machine Operator; Quality Analyst; Fitter; Welder; Production Supervisor,21.9,25296,64.17,80.17,High,Emerging,Low,Low,2026-08-23
Healthcare,Mumbai,30003,35649,18.82,Nurse; Medical Lab Technician; Pharmacy Assistant; Patient Care Assistant; Medical Equipment Technician,32.44,55298,54.01,86.77,Low,Emerging,Medium,High,2026-04-02
Healthcare,Pune,4850,5813,19.87,Nurse; Medical Lab Technician; Pharmacy Assistant; Patient Care Assistant; Medical Equipment Technician,38.18,41625,83.82,67.43,Medium,Emerging,Low,High,2026-06-22
Healthcare,Nagpur,45945,52762,14.84,Nurse; Medical Lab Technician; Pharmacy Assistant; Patient Care Assistant; Medical Equipment Technician,25.22,58617,46.37,42.5,High,Moderate,Low,Low,2026-05-06
Healthcare,Thane,21469,25416,18.39,Nurse; Medical Lab Technician; Pharmacy Assistant; Patient Care Assistant; Medical Equipment Technician,29.54,49066,61.78,72.61,Medium,Emerging,Low,High,2026-07-06
Healthcare,Nashik,43997,49388,12.26,Nurse; Medical Lab Technician; Pharmacy Assistant; Patient Care Assistant; Medical Equipment Technician,47.37,32417,42.2,51.35,No Change,Advanced,High,Low,2026-08-15
Healthcare,Aurangabad,43988,52846,20.14,Nurse; Medical Lab Technician; Pharmacy Assistant; Patient Care Assistant; Medical Equipment Technician,36.13,76640,49.39,50.75,No Change,Moderate,Low,Low,2026-04-09
Healthcare,Solapur,38662,46750,20.92,Nurse; Medical Lab Technician; Pharmacy Assistant; Patient Care Assistant; Medical Equipment Technician,48.12,20488,65.73,48.75,No Change,Basic,Low,High,2026-07-19
Healthcare,Amravati,33786,40022,18.46,Nurse; Medical Lab Technician; Pharmacy Assistant; Patient Care Assistant; Medical Equipment Technician,47.48,24395,68.14,72.9,Low,Moderate,High,Low,2026-04-26
Healthcare,Kolhapur,22329,27582,23.53,Nurse; Medical Lab Technician; Pharmacy Assistant; Patient Care Assistant; Medical Equipment Technician,43.46,79550,33.01,64.64,High,Moderate,High,High,2026-04-10
Healthcare,Sangli,7637,9316,21.99,Nurse; Medical Lab Technician; Pharmacy Assistant; Patient Care Assistant; Medical Equipment Technician,21.38,25452,32.38,43.65,No Change,Advanced,Low,Medium,2026-08-04
Healthcare,Jalgaon,39759,48350,21.61,Nurse; Medical Lab Technician; Pharmacy Assistant; Patient Care Assistant; Medical Equipment Technician,57.91,51208,65.8,63.08,High,Basic,Low,Low,2026-05-18
Healthcare,Akola,5450,6568,20.52,Nurse; Medical Lab Technician; Pharmacy Assistant; Patient Care Assistant; Medical Equipment Technician,31.85,69893,84.38,76.35,Low,Basic,High,Medium,2026-03-29
Healthcare,Latur,21784,27198,24.85,Nurse; Medical Lab Technician; Pharmacy Assistant; Patient Care Assistant; Medical Equipment Technician,29.09,21774,34.96,62.67,Low,Emerging,Low,Low,2026-06-22
Healthcare,Dhule,25872,31105,20.23,Nurse; Medical Lab Technician; Pharmacy Assistant; Patient Care Assistant; Medical Equipment Technician,49.28,58631,61.9,69.29,Medium,Emerging,Low,Medium,2026-07-24
Healthcare,Ahmednagar,30621,38242,24.89,Nurse; Medical Lab Technician; Pharmacy Assistant; Patient Care Assistant; Medical Equipment Technician,52.47,76740,65.07,81.33,Low,Emerging,Medium,High,2026-03-18
Healthcare,Chandrapur,33062,40254,21.76,Nurse; Medical Lab Technician; Pharmacy Assistant; Patient Care Assistant; Medical Equipment Technician,18.57,55421,61.23,40.32,No Change,Emerging,Medium,Medium,2026-05-04
Healthcare,Parbhani,4872,6082,24.84,Nurse; Medical Lab Technician; Pharmacy Assistant; Patient Care Assistant; Medical Equipment Technician,49.75,47120,83.55,55.69,Medium,Moderate,Medium,Low,2026-06-27
Healthcare,Jalna,32571,39977,22.74,Nurse; Medical Lab Technician; Pharmacy Assistant; Patient Care Assistant; Medical Equipment Technician,31.86,63861,39.37,56.42,Medium,Emerging,Medium,High,2026-03-16
Healthcare,Bhiwandi,34558,42461,22.87,Nurse; Medical Lab Technician; Pharmacy Assistant; Patient Care Assistant; Medical Equipment Technician,55.87,53627,56.57,82.79,Medium,Moderate,Medium,Medium,2026-07-15
Healthcare,Nanded,20314,23692,16.63,Nurse; Medical Lab Technician; Pharmacy Assistant; Patient Care Assistant; Medical Equipment Technician,52.07,25554,74.43,51.93,High,Basic,High,Low,2026-08-11
Healthcare,Satara,26829,30688,14.39,Nurse; Medical Lab Technician; Pharmacy Assistant; Patient Care Assistant; Medical Equipment Technician,25.11,65379,42.67,52.62,No Change,Advanced,Low,Medium,2026-07-20
Healthcare,Beed,37483,45124,20.39,Nurse; Medical Lab Technician; Pharmacy Assistant; Patient Care Assistant; Medical Equipment Technician,42.66,32392,34.51,80.79,High,Advanced,High,High,2026-07-13
Healthcare,Yavatmal,24191,28707,18.67,Nurse; Medical Lab Technician; Pharmacy Assistant; Patient Care Assistant; Medical Equipment Technician,42.32,72093,76.03,61.23,Low,Basic,Low,Low,2026-08-17
Healthcare,Osmanabad,40662,46168,13.54,Nurse; Medical Lab Technician; Pharmacy Assistant; Patient Care Assistant; Medical Equipment Technician,17.83,78654,73.4,41.7,Medium,Emerging,Low,Low,2026-06-06
Healthcare,Raigad,27453,32815,19.53,Nurse; Medical Lab Technician; Pharmacy Assistant; Patient Care Assistant; Medical Equipment Technician,16.85,38752,82.2,58.06,Medium,Basic,High,High,2026-05-14
Healthcare,Ratnagiri,4774,5797,21.44,Nurse; Medical Lab Technician; Pharmacy Assistant; Patient Care Assistant; Medical Equipment Technician,20.94,68187,45.28,81.4,Medium,Basic,Medium,High,2026-06-13
Healthcare,Sindhudurg,40440,45825,13.32,Nurse; Medical Lab Technician; Pharmacy Assistant; Patient Care Assistant; Medical Equipment Technician,18.62,67738,55.53,68.58,Medium,Advanced,Low,Low,2026-07-05
Healthcare,Wardha,48313,59732,23.64,Nurse; Medical Lab Technician; Pharmacy Assistant; Patient Care Assistant; Medical Equipment Technician,57.6,58580,31.27,42.24,High,Advanced,Low,High,2026-05-18
Healthcare,Washim,5546,6662,20.14,Nurse; Medical Lab Technician; Pharmacy Assistant; Patient Care Assistant; Medical Equipment Technician,47.92,77530,50.27,68.57,Medium,Moderate,High,High,2026-07-20
Healthcare,Gondia,35139,40268,14.6,Nurse; Medical Lab Technician; Pharmacy Assistant; Patient Care Assistant; Medical Equipment Technician,53.75,36096,30.26,54.58,High,Advanced,Medium,Medium,2026-07-12
Healthcare,Bhandara,35397,40881,15.49,Nurse; Medical Lab Technician; Pharmacy Assistant; Patient Care Assistant; Medical Equipment Technician,43.35,62720,44.35,70.86,Low,Basic,High,Low,2026-04-27
Healthcare,Gadchiroli,7280,8159,12.08,Nurse; Medical Lab Technician; Pharmacy Assistant; Patient Care Assistant; Medical Equipment Technician,30.4,38147,33.7,89.98,High,Basic,Medium,Low,2026-06-27
Healthcare,Hingoli,42800,49566,15.81,Nurse; Medical Lab Technician; Pharmacy Assistant; Patient Care Assistant; Medical Equipment Technician,20.04,49919,68.18,85.92,Medium,Advanced,Medium,Low,2026-05-30
Healthcare,Nandurbar,30127,37254,23.66,Nurse; Medical Lab Technician; Pharmacy Assistant; Patient Care Assistant; Medical Equipment Technician,31.77,48914,55.38,71.86,No Change,Moderate,High,High,2026-04-13
Retail & E-commerce,Mumbai,4571,4721,3.29,Retail Associate; Warehouse Supervisor; Delivery Executive; Customer Support; Inventory Manager,26.02,45795,59.71,84.45,Medium,Emerging,Medium,Low,2026-05-28
Retail & E-commerce,Pune,38086,40184,5.51,Retail Associate; Warehouse Supervisor; Delivery Executive; Customer Support; Inventory Manager,53.39,52314,57.17,47.31,Low,Emerging,High,Low,2026-03-25
Retail & E-commerce,Nagpur,14381,16033,11.49,Retail Associate; Warehouse Supervisor; Delivery Executive; Customer Support; Inventory Manager,55.15,52197,43.91,53.15,No Change,Moderate,Medium,Medium,2026-05-30
Retail & E-commerce,Thane,49769,53697,7.89,Retail Associate; Warehouse Supervisor; Delivery Executive; Customer Support; Inventory Manager,53.82,43378,79.78,71.18,High,Moderate,High,Medium,2026-03-21
Retail & E-commerce,Nashik,19661,22004,11.92,Retail Associate; Warehouse Supervisor; Delivery Executive; Customer Support; Inventory Manager,35.55,42178,38.88,42.82,No Change,Basic,Low,Medium,2026-08-22
Retail & E-commerce,Aurangabad,19307,20293,5.11,Retail Associate; Warehouse Supervisor; Delivery Executive; Customer Support; Inventory Manager,20.69,36465,69.43,53.97,No Change,Emerging,Low,Low,2026-05-31
Retail & E-commerce,Solapur,27291,28794,5.51,Retail Associate; Warehouse Supervisor; Delivery Executive; Customer Support; Inventory Manager,52.77,31974,51.8,86.65,Low,Advanced,Medium,High,2026-07-21
Retail & E-commerce,Amravati,29742,31328,5.33,Retail Associate; Warehouse Supervisor; Delivery Executive; Customer Support; Inventory Manager,31.97,40348,82.11,57.33,Medium,Advanced,Low,High,2026-06-01
Retail & E-commerce,Kolhapur,18809,20570,9.36,Retail Associate; Warehouse Supervisor; Delivery Executive; Customer Support; Inventory Manager,56.72,21949,45.43,50.2,No Change,Basic,High,High,2026-05-15
Retail & E-commerce,Sangli,17895,19073,6.59,Retail Associate; Warehouse Supervisor; Delivery Executive; Customer Support; Inventory Manager,42.91,52163,66.9,60.17,No Change,Emerging,Medium,Low,2026-06-04
Retail & E-commerce,Jalgaon,24407,27087,10.98,Retail Associate; Warehouse Supervisor; Delivery Executive; Customer Support; Inventory Manager,49.72,30831,51.36,74.65,Medium,Basic,High,Medium,2026-04-22
Retail & E-commerce,Akola,48740,53085,8.92,Retail Associate; Warehouse Supervisor; Delivery Executive; Customer Support; Inventory Manager,31.38,27554,53.52,43.7,Low,Moderate,Low,High,2026-04-04
Retail & E-commerce,Latur,21338,22880,7.23,Retail Associate; Warehouse Supervisor; Delivery Executive; Customer Support; Inventory Manager,31.79,61177,63.58,60.17,No Change,Emerging,Low,Low,2026-03-11
Retail & E-commerce,Dhule,35477,36973,4.22,Retail Associate; Warehouse Supervisor; Delivery Executive; Customer Support; Inventory Manager,58.3,48402,42.52,52.72,High,Advanced,Low,Medium,2026-06-07
Retail & E-commerce,Ahmednagar,24727,25625,3.63,Retail Associate; Warehouse Supervisor; Delivery Executive; Customer Support; Inventory Manager,17.59,24567,42.01,78.01,Medium,Advanced,Low,High,2026-07-17
Retail & E-commerce,Chandrapur,42167,46913,11.26,Retail Associate; Warehouse Supervisor; Delivery Executive; Customer Support; Inventory Manager,16.06,36192,51.22,56.9,Medium,Moderate,Medium,Low,2026-06-07
Retail & E-commerce,Parbhani,29171,31265,7.18,Retail Associate; Warehouse Supervisor; Delivery Executive; Customer Support; Inventory Manager,45.65,39468,56.39,56.42,No Change,Basic,Low,Medium,2026-08-25
Retail & E-commerce,Jalna,35582,36887,3.67,Retail Associate; Warehouse Supervisor; Delivery Executive; Customer Support; Inventory Manager,30.1,34287,69.97,81.98,No Change,Moderate,Medium,Medium,2026-07-12
Retail & E-commerce,Bhiwandi,32926,35271,7.12,Retail Associate; Warehouse Supervisor; Delivery Executive; Customer Support; Inventory Manager,29.47,47961,41.19,57.63,No Change,Basic,High,Low,2026-05-03
Retail & E-commerce,Nanded,2405,2650,10.21,Retail Associate; Warehouse Supervisor; Delivery Executive; Customer Support; Inventory Manager,42.43,19276,59.75,58.87,No Change,Basic,Medium,High,2026-06-22
Retail & E-commerce,Satara,16806,18512,10.16,Retail Associate; Warehouse Supervisor; Delivery Executive; Customer Support; Inventory Manager,42.32,28339,54.57,71.07,Low,Moderate,High,Low,2026-05-15
Retail & E-commerce,Beed,11521,12849,11.54,Retail Associate; Warehouse Supervisor; Delivery Executive; Customer Support; Inventory Manager,32.63,55709,44.83,59.81,No Change,Advanced,Medium,Medium,2026-07-03
Retail & E-commerce,Yavatmal,3253,3482,7.05,Retail Associate; Warehouse Supervisor; Delivery Executive; Customer Support; Inventory Manager,35.5,61712,42.11,43.43,High,Emerging,High,Low,2026-08-01
Retail & E-commerce,Osmanabad,38998,40219,3.13,Retail Associate; Warehouse Supervisor; Delivery Executive; Customer Support; Inventory Manager,56.65,52896,62.37,52.6,Medium,Emerging,Medium,Medium,2026-04-17
Retail & E-commerce,Raigad,7662,8339,8.85,Retail Associate; Warehouse Supervisor; Delivery Executive; Customer Support; Inventory Manager,36.08,63423,57.37,75.05,Medium,Moderate,Low,Low,2026-07-06
Retail & E-commerce,Ratnagiri,34266,37077,8.21,Retail Associate; Warehouse Supervisor; Delivery Executive; Customer Support; Inventory Manager,15.3,21892,45.0,79.42,High,Basic,Low,Low,2026-08-20
Retail & E-commerce,Sindhudurg,14138,15800,11.76,Retail Associate; Warehouse Supervisor; Delivery Executive; Customer Support; Inventory Manager,51.32,65852,53.88,55.59,No Change,Emerging,Medium,Low,2026-07-25
Retail & E-commerce,Wardha,23284,24138,3.67,Retail Associate; Warehouse Supervisor; Delivery Executive; Customer Support; Inventory Manager,43.81,28025,61.8,56.59,Medium,Advanced,Medium,High,2026-08-15
Retail & E-commerce,Washim,11527,12403,7.61,Retail Associate; Warehouse Supervisor; Delivery Executive; Customer Support; Inventory Manager,19.28,52934,66.94,46.16,Low,Basic,Low,Low,2026-07-30
Retail & E-commerce,Gondia,48381,52685,8.9,Retail Associate; Warehouse Supervisor; Delivery Executive; Customer Support; Inventory Manager,51.63,44850,69.66,42.37,High,Emerging,Medium,High,2026-06-08
Retail & E-commerce,Bhandara,14878,16145,8.52,Retail Associate; Warehouse Supervisor; Delivery Executive; Customer Support; Inventory Manager,51.09,57350,46.79,64.63,Low,Emerging,High,Low,2026-05-04
Retail & E-commerce,Gadchiroli,19608,21953,11.96,Retail Associate; Warehouse Supervisor; Delivery Executive; Customer Support; Inventory Manager,16.96,52162,37.14,60.91,Low,Basic,Medium,Medium,2026-05-22
Retail & E-commerce,Hingoli,5692,6025,5.87,Retail Associate; Warehouse Supervisor; Delivery Executive; Customer Support; Inventory Manager,28.46,51497,37.88,65.49,No Change,Basic,Low,Medium,2026-03-11
Retail & E-commerce,Nandurbar,13730,15307,11.49,Retail Associate; Warehouse Supervisor; Delivery Executive; Customer Support; Inventory Manager,47.41,35748,46.41,85.38,High,Moderate,Medium,Medium,2026-05-11
