center_id,center_name,district,course_category,course_name,center_type,total_capacity,current_enrollment,has_computer_lab,has_workshop,equipment_age_years,total_trainers,certified_trainers,batches_completed,students_placed,placement_rate_percent,duration_months,fee_amount,certification,industry_partners,months_since_curriculum_update,contact_email,contact_phone
TC_0073,Skill Development Center - Nashik 8,Nashik,Retail,Sales Techniques,Industry Training Center,169,156,Yes,No,6,3,3,11,78,50.0,2,34315,NSDC,9,51,center73@skilldev.maharashtra.gov.in,+91-9431166652
TC_0074,Skill Development Center - Sangli 7,Sangli,Beauty & Wellness,Fitness Training,Government ITI,73,54,Yes,Yes,7,12,12,9,43,79.63,3,2402,State Government,6,42,center74@skilldev.maharashtra.gov.in,+91-9766089725
TC_0075,Skill Development Center - Nagpur 9,Nagpur,Electronics,PCB Design,NGO,241,217,No,No,6,7,6,10,15,6.91,9,20646,Industry Certified,2,55,center75@skilldev.maharashtra.gov.in,+91-9001529062
TC_0076,Skill Development Center - Nanded 10,Nanded,Agriculture,Poultry Farming,Private Training Provider,178,116,No,No,10,8,8,11,29,25.0,9,26825,No Certification,8,34,center76@skilldev.maharashtra.gov.in,+91-9081809566
TC_0077,Skill Development Center - Nanded 10,Nanded,Tourism & Hospitality,Tour Guide,Private Training Provider,222,144,Yes,Yes,6,9,4,7,102,70.83,2,25903,Industry Certified,0,34,center77@skilldev.maharashtra.gov.in,+91-9103798372
TC_0078,Skill Development Center - Nanded 9,Nanded,Food Processing,Quality Testing,NGO,296,103,Yes,Yes,9,4,4,8,45,43.69,9,38112,NSDC,9,9,center78@skilldev.maharashtra.gov.in,+91-9099934603
TC_0079,Skill Development Center - Satara 7,Satara,Telecommunications,Field Service,NSDC Partner,230,139,Yes,No,2,14,3,1,101,72.66,3,9712,No Certification,0,3,center79@skilldev.maharashtra.gov.in,+91-9129068885
TC_0080,Skill Development Center - Thane 5,Thane,Banking & Finance,Accounting,Industry Training Center,242,167,Yes,Yes,4,15,3,12,103,61.68,2,16542,Industry Certified,3,30,center80@skilldev.maharashtra.gov.in,+91-9445436565
TC_0081,Skill Development Center - Sangli 7,Sangli,Logistics,Warehouse Management,Industry Training Center,286,174,No,No,13,12,11,14,126,72.41,1,12428,No Certification,0,29,center81@skilldev.maharashtra.gov.in,+91-9050466044
TC_0082,Skill Development Center - Nashik 6,Nashik,Manufacturing,Quality Control,NSDC Partner,173,150,No,Yes,4,7,7,15,71,47.33,3,45074,State Government,7,6,center82@skilldev.maharashtra.gov.in,+91-9110407001
TC_0083,Skill Development Center - Bhandara 6,Bhandara,Healthcare,Medical Equipment Handling,Industry Training Center,208,89,Yes,No,2,10,9,16,42,47.19,9,49892,NSDC,5,36,center83@skilldev.maharashtra.gov.in,+91-9633063771
TC_0084,Skill Development Center - Amravati 4,Amravati,Media,Photography,NGO,102,89,No,Yes,14,3,3,12,61,68.54,1,22589,No Certification,2,49,center84@skilldev.maharashtra.gov.in,+91-9113977370
TC_0085,Skill Development Center - Mumbai 5,Mumbai,Manufacturing,CNC Operation,Industry Training Center,230,86,No,Yes,13,12,6,14,66,76.74,3,38778,NSDC,0,13,center85@skilldev.maharashtra.gov.in,+91-9967656378
TC_0086,Skill Development Center - Washim 7,Washim,IT & Software,Digital Marketing,Government ITI,287,163,No,Yes,2,2,1,15,75,46.01,2,14236,No Certification,8,13,center86@skilldev.maharashtra.gov.in,+91-9479024467
TC_0087,Skill Development Center - Wardha 2,Wardha,Logistics,Supply Chain Basics,NSDC Partner,170,51,Yes,Yes,12,12,1,12,26,50.98,12,45984,State Government,9,9,center87@skilldev.maharashtra.gov.in,+91-9432659420
TC_0088,Skill Development Center - Raigad 7,Raigad,Construction,Carpentry,Private Training Provider,63,24,Yes,No,4,15,2,9,16,66.67,6,28648,State Government,0,10,center88@skilldev.maharashtra.gov.in,+91-9756829995
TC_0089,Skill Development Center - Hingoli 9,Hingoli,Banking & Finance,Accounting,Government ITI,70,56,Yes,Yes,3,11,7,17,34,60.71,3,12589,Industry Certified,9,5,center89@skilldev.maharashtra.gov.in,+91-9206006578
TC_0090,Skill Development Center - Yavatmal 7,Yavatmal,Construction,Bar Bending,Private Training Provider,177,169,No,No,4,6,3,20,31,18.34,9,34125,No Certification,8,8,center90@skilldev.maharashtra.gov.in,+91-9777148921
TC_0091,Skill Development Center - Dhule 2,Dhule,Automotive,Denting,Industry Training Center,88,38,Yes,Yes,7,11,3,15,10,26.32,3,6073,State Government,8,31,center91@skilldev.maharashtra.gov.in,+91-9053202818
TC_0092,Skill Development Center - Osmanabad 5,Osmanabad,Tourism & Hospitality,Travel Agency Operations,Government ITI,254,161,No,No,10,7,2,6,75,46.58,1,13202,No Certification,9,3,center92@skilldev.maharashtra.gov.in,+91-9872364389
TC_0093,Skill Development Center - Bhandara 5,Bhandara,Manufacturing,Welding Technology,NGO,207,92,No,Yes,0,13,8,4,60,65.22,9,30089,No Certification,7,49,center93@skilldev.maharashtra.gov.in,+91-9382539779
TC_0094,Skill Development Center - Dhule 1,Dhule,Banking & Finance,Banking Operations,NSDC Partner,263,158,No,No,15,11,5,5,63,39.87,3,15088,No Certification,3,30,center94@skilldev.maharashtra.gov.in,+91-9222950332
TC_0095,Skill Development Center - Jalgaon 6,Jalgaon,Banking & Finance,Insurance,Private Training Provider,165,67,No,No,8,11,8,4,10,14.93,2,24750,Industry Certified,1,19,center95@skilldev.maharashtra.gov.in,+91-9697090634
TC_0096,Skill Development Center - Chandrapur 3,Chandrapur,Media,Graphic Design,Government ITI,65,56,Yes,Yes,11,13,13,17,23,41.07,2,20445,NSDC,2,39,center96@skilldev.maharashtra.gov.in,+91-9520192757
TC_0097,Skill Development Center - Pune 9,Pune,Agriculture,Dairy Management,NGO,170,53,No,No,1,3,1,16,17,32.08,9,37665,No Certification,7,36,center97@skilldev.maharashtra.gov.in,+91-9870103969
TC_0098,Skill Development Center - Kolhapur 8,Kolhapur,Media,Photography,Industry Training Center,205,93,No,No,2,2,2,19,31,33.33,1,35767,NSDC,4,43,center98@skilldev.maharashtra.gov.in,+91-9322247664
TC_0099,Skill Development Center - Gadchiroli 6,Gadchiroli,Food Processing,Food Safety,Government ITI,254,252,No,Yes,10,11,5,20,3,1.19,6,49895,NSDC,3,60,center99@skilldev.maharashtra.gov.in,+91-9354438036
TC_0100,Skill Development Center - Sindhudurg 1,Sindhudurg,Construction,Electrical Installation,Industry Training Center,69,21,No,Yes,1,14,10,4,15,71.43,1,40638,Industry Certified,3,29,center100@skilldev.maharashtra.gov.in,+91-9160300719
TC_0101,Skill Development Center - Solapur 5,Solapur,Beauty & Wellness,Spa Therapy,Government ITI,192,191,No,No,14,7,6,7,19,9.95,12,47139,NSDC,5,48,center101@skilldev.maharashtra.gov.in,+91-9921818024
TC_0102,Skill Development Center - Bhiwandi 7,Bhiwandi,Tourism & Hospitality,Hotel Management,NSDC Partner,104,62,Yes,Yes,12,15,13,15,0,0.0,1,38870,No Certification,4,55,center102@skilldev.maharashtra.gov.in,+91-9112788946
TC_0103,Skill Development Center - Sindhudurg 8,Sindhudurg,Logistics,Packaging Technology,NSDC Partner,175,170,Yes,No,5,12,11,7,13,7.65,12,28779,Industry Certified,5,54,center103@skilldev.maharashtra.gov.in,+91-9508270441
TC_0104,Skill Development Center - Sindhudurg 6,Sindhudurg,Retail,Inventory Management,NGO,114,46,Yes,Yes,1,13,10,7,10,21.74,2,1425,No Certification,4,26,center104@skilldev.maharashtra.gov.in,+91-9191027266
TC_0105,Skill Development Center - Pune 8,Pune,Media,Social Media Management,Private Training Provider,207,190,Yes,No,2,11,11,10,21,11.05,12,1898,State Government,8,45,center105@skilldev.maharashtra.gov.in,+91-9716310270
TC_0106,Skill Development Center - Akola 9,Akola,Banking & Finance,Accounting,Government ITI,95,83,No,Yes,1,5,1,12,13,15.66,12,10563,State Government,6,21,center106@skilldev.maharashtra.gov.in,+91-9689713316
TC_0107,Skill Development Center - Nandurbar 8,Nandurbar,Healthcare,Patient Care,Private Training Provider,198,106,No,No,6,8,4,14,67,63.21,1,8352,State Government,0,21,center107@skilldev.maharashtra.gov.in,+91-9741541783
TC_0108,Skill Development Center - Ahmednagar 3,Ahmednagar,Logistics,Forklift Operation,Industry Training Center,62,20,Yes,Yes,3,4,2,1,15,75.0,2,34401,NSDC,1,41,center108@skilldev.maharashtra.gov.in,+91-9152226028
TC_0109,Skill Development Center - Jalgaon 5,Jalgaon,Healthcare,Pharmacy Assistant,Private Training Provider,241,178,No,Yes,3,2,1,2,113,63.48,12,17875,Industry Certified,2,59,center109@skilldev.maharashtra.gov.in,+91-9927284663
TC_0110,Skill Development Center - Thane 1,Thane,Agriculture,Organic Farming,NGO,285,232,Yes,Yes,14,3,2,17,7,3.02,9,24345,NSDC,1,45,center110@skilldev.maharashtra.gov.in,+91-9067875851
TC_0111,Skill Development Center - Satara 5,Satara,IT & Software,AI/ML Basics,Government ITI,92,47,No,Yes,2,3,1,17,29,61.7,3,3930,State Government,6,30,center111@skilldev.maharashtra.gov.in,+91-9861232387
TC_0112,Skill Development Center - Nagpur 1,Nagpur,Automotive,Denting,NGO,174,83,Yes,No,3,6,5,8,63,75.9,1,39342,NSDC,0,18,center112@skilldev.maharashtra.gov.in,+91-9397149619
TC_0113,Skill Development Center - Amravati 5,Amravati,Food Processing,Food Safety,Industry Training Center,230,206,Yes,No,10,14,7,3,10,4.85,9,22894,State Government,4,35,center113@skilldev.maharashtra.gov.in,+91-9776092216
TC_0114,Skill Development Center - Chandrapur 2,Chandrapur,Tourism & Hospitality,Food & Beverage Service,Private Training Provider,169,92,Yes,No,5,6,4,20,7,7.61,3,12006,State Government,10,13,center114@skilldev.maharashtra.gov.in,+91-9785964509
TC_0115,Skill Development Center - Nanded 1,Nanded,Telecommunications,Network Installation,NGO,267,97,No,Yes,11,13,7,7,48,49.48,3,2299,Industry Certified,8,22,center115@skilldev.maharashtra.gov.in,+91-9543307296
TC_0116,Skill Development Center - Nashik 6,Nashik,Retail,Cashier Operations,NSDC Partner,165,109,Yes,No,0,9,8,12,60,55.05,6,28403,State Government,7,5,center116@skilldev.maharashtra.gov.in,+91-9062651663
TC_0117,Skill Development Center - Raigad 5,Raigad,Retail,Retail Management,Private Training Provider,249,82,Yes,Yes,15,5,3,8,49,59.76,9,9433,NSDC,5,40,center117@skilldev.maharashtra.gov.in,+91-9890735649
TC_0118,Skill Development Center - Gondia 8,Gondia,IT & Software,Full Stack Development,NGO,148,58,No,Yes,1,15,9,11,15,25.86,3,46801,No Certification,5,21,center118@skilldev.maharashtra.gov.in,+91-9065251452
TC_0119,Skill Development Center - Washim 2,Washim,Food Processing,Cold Chain Management,NSDC Partner,126,76,Yes,No,8,8,3,13,25,32.89,2,27136,State Government,9,58,center119@skilldev.maharashtra.gov.in,+91-9369169647
TC_0120,Skill Development Center - Solapur 9,Solapur,Retail,Customer Service,Private Training Provider,98,64,No,Yes,10,7,2,19,47,73.44,9,10432,No Certification,7,31,center120@skilldev.maharashtra.gov.in,+91-9728013943
TC_0121,Skill Development Center - Gondia 6,Gondia,Healthcare,Pharmacy Assistant,NGO,208,167,Yes,No,0,2,1,7,26,15.57,1,15892,No Certification,8,29,center121@skilldev.maharashtra.gov.in,+91-9072476767
