skill_name,district,posting_count,avg_salary,in_taxonomy,current_demand_score,growth_rate_percent,obsolescence_risk,demand_trend,district_growth_rate,district_skills_gap,static_emerging_bonus,trends_bonus,emerging_bonus,obsolescence_penalty,predicted_score_6m,confidence_6m,predicted_score_12m,confidence_12m,predicted_score_24m,confidence_24m,demand_band_6m,demand_band_12m,demand_band_24m
Accounting,Nagpur,7,116345.0,False,13.0,0.0,,,9.1105,38.835,0.0,0.0,0.0,0.0,26.9,56,29.2,56,33.8,56,Low,Low,Low
Accounting,Nanded,4,159742.0,False,6.7,0.0,,,8.637,35.605000000000004,0.0,0.0,0.0,0.0,19.5,50,21.7,50,26.0,50,Low,Low,Low
Accounting,Nashik,4,52277.0,False,7.9,0.0,,,8.586,37.875,0.0,0.0,0.0,0.0,21.4,50,23.6,50,27.8,50,Low,Low,Low
Accounting,Osmanabad,2,149323.5,False,2.4,0.0,,,8.059999999999999,37.4765,0.0,0.0,0.0,0.0,15.7,46,17.7,46,21.7,46,Low,Low,Low
Accounting,Parbhani,6,182521.66666666666,False,10.2,0.0,,,9.2835,38.364,0.0,0.0,0.0,0.0,24.0,54,26.4,54,31.0,54,Low,Low,Low
Accounting,Pune,6,85083.0,False,13.9,0.0,,,8.681999999999999,40.851,0.0,0.0,0.0,0.0,28.3,54,30.5,54,34.8,54,Low,Low,Low
Accounting,Raigad,3,170127.66666666666,False,5.7,0.0,,,9.9115,39.47,0.0,0.0,0.0,0.0,20.0,48,22.5,48,27.5,48,Low,Low,Low
Accounting,Sangli,5,115741.2,False,12.5,0.0,,,9.5185,37.182,0.0,0.0,0.0,0.0,26.0,52,28.4,52,33.2,52,Low,Low,Low
Accounting,Satara,2,94114.5,False,2.5,0.0,,,9.8795,40.648,0.0,0.0,0.0,0.0,17.2,46,19.6,46,24.6,46,Low,Low,Low
Accounting,Yavatmal,4,203150.5,False,7.1,0.0,,,9.310500000000001,37.6325,0.0,0.0,0.0,0.0,20.7,50,23.0,50,27.7,50,Low,Low,Low
Adobe XD,Ahmednagar,8,131740.75,False,16.3,0.0,,,8.46,36.595,0.0,0.0,0.0,0.0,29.4,58,31.5,58,35.7,58,Low,Low,Medium
Adobe XD,Akola,3,235412.66666666666,False,4.3,0.0,,,9.0,33.019,0.0,0.0,0.0,0.0,16.5,48,18.7,48,23.2,48,Low,Low,Low
Adobe XD,Amravati,2,122545.5,False,3.2,0.0,,,8.8925,37.6035,0.0,0.0,0.0,0.0,16.7,46,18.9,46,23.4,46,Low,Low,Low
Adobe XD,Aurangabad,5,125888.4,False,10.3,0.0,,,7.6,38.486000000000004,0.0,0.0,0.0,0.0,23.7,52,25.6,52,29.4,52,Low,Low,Low
Adobe XD,Beed,5,66868.2,False,11.4,0.0,,,9.5965,42.417,0.0,0.0,0.0,0.0,26.5,52,28.9,52,33.7,52,Low,Low,Low
Adobe XD,Bhiwandi,5,269293.0,False,11.1,0.0,,,8.895,40.1755,0.0,0.0,0.0,0.0,25.4,52,27.6,52,32.0,52,Low,Low,Low
Adobe XD,Chandrapur,3,132672.33333333334,False,4.8,0.0,,,8.7865,35.588,0.0,0.0,0.0,0.0,17.7,48,19.9,48,24.3,48,Low,Low,Low
Adobe XD,Dhule,4,106478.5,False,9.1,0.0,,,10.1625,39.802,0.0,0.0,0.0,0.0,23.6,50,26.1,50,31.2,50,Low,Low,Low
Adobe XD,Jalgaon,3,127938.33333333333,False,5.3,0.0,,,8.879999999999999,37.665,0.0,0.0,0.0,0.0,18.8,48,21.0,48,25.5,48,Low,Low,Low
Adobe XD,Jalna,3,144592.33333333334,False,4.3,0.0,,,8.616499999999998,33.054500000000004,0.0,0.0,0.0,0.0,16.4,48,18.5,48,22.8,48,Low,Low,Low
Adobe XD,Kolhapur,1,47702.0,False,0.0,0.0,,,9.7,40.227999999999994,0.0,0.0,0.0,0.0,14.5,44,16.9,44,21.8,44,Low,Low,Low
Adobe XD,Latur,4,161813.5,False,7.7,0.0,,,9.7515,39.448,0.0,0.0,0.0,0.0,22.0,50,24.4,50,29.3,50,Low,Low,Low
Adobe XD,Mumbai,5,189802.0,False,11.1,0.0,,,9.267,35.709500000000006,0.0,0.0,0.0,0.0,24.1,52,26.4,52,31.1,52,Low,Low,Low
Adobe XD,Nagpur,10,123540.3,False,19.6,0.0,,,9.1105,38.835,0.0,0.0,0.0,0.0,33.5,62,35.8,62,40.4,62,Low,Medium,Medium
Adobe XD,Nanded,2,55221.5,False,2.2,0.0,,,8.637,35.605000000000004,0.0,0.0,0.0,0.0,15.0,46,17.2,46,21.5,46,Low,Low,Low
Adobe XD,Nashik,5,78835.6,False,10.5,0.0,,,8.586,37.875,0.0,0.0,0.0,0.0,24.0,52,26.2,52,30.4,52,Low,Low,Low
Adobe XD,Osmanabad,7,78517.14285714286,False,14.3,0.0,,,8.059999999999999,37.4765,0.0,0.0,0.0,0.0,27.6,56,29.6,56,33.6,56,Low,Low,Low
Adobe XD,Parbhani,5,63450.6,False,8.2,0.0,,,9.2835,38.364,0.0,0.0,0.0,0.0,22.0,52,24.4,52,29.0,52,Low,Low,Low
Adobe XD,Pune,3,75122.0,False,5.6,0.0,,,8.681999999999999,40.851,0.0,0.0,0.0,0.0,20.0,48,22.2,48,26.5,48,Low,Low,Low
Adobe XD,Raigad,2,69560.5,False,2.9,0.0,,,9.9115,39.47,0.0,0.0,0.0,0.0,17.2,46,19.7,46,24.7,46,Low,Low,Low
Adobe XD,Sangli,3,119835.33333333333,False,6.2,0.0,,,9.5185,37.182,0.0,0.0,0.0,0.0,19.7,48,22.1,48,26.9,48,Low,Low,Low
Adobe XD,Satara,7,129123.57142857143,False,15.0,0.0,,,9.8795,40.648,0.0,0.0,0.0,0.0,29.7,56,32.1,56,37.1,56,Low,Low,Medium
Adobe XD,Solapur,4,281561.5,False,7.1,0.0,,,9.0745,41.6085,0.0,0.0,0.0,0.0,21.9,50,24.1,50,28.7,50,Low,Low,Low
Adobe XD,Yavatmal,5,188347.6,False,9.5,0.0,,,9.310500000000001,37.6325,0.0,0.0,0.0,0.0,23.1,52,25.4,52,30.1,52,Low,Low,Low
Agile,Ahmednagar,21,129547.71428571429,False,46.5,0.0,,,8.46,36.595,0.0,0.0,0.0,0.0,59.6,77,61.7,77,65.9,77,Medium,Medium,High
Agile,Akola,15,99264.46666666666,False,29.8,0.0,,,9.0,33.019,0.0,0.0,0.0,0.0,42.0,72,44.2,72,48.7,72,Medium,Medium,Medium
Agile,Amravati,20,146501.7,False,61.3,0.0,,,8.8925,37.6035,0.0,0.0,0.0,0.0,74.8,77,77.0,77,81.5,77,High,High,High
Agile,Aurangabad,17,163586.23529411765,False,41.0,0.0,,,7.6,38.486000000000004,0.0,0.0,0.0,0.0,54.4,76,56.3,76,60.1,76,Medium,Medium,Medium
Agile,Beed,17,189582.41176470587,False,45.7,0.0,,,9.5965,42.417,0.0,0.0,0.0,0.0,60.8,76,63.2,76,68.0,76,Medium,Medium,High
Agile,Bhiwandi,17,156952.29411764705,False,44.4,0.0,,,8.895,40.1755,0.0,0.0,0.0,0.0,58.7,76,60.9,76,65.3,76,Medium,Medium,High
Agile,Chandrapur,24,107798.45833333333,False,54.8,0.0,,,8.7865,35.588,0.0,0.0,0.0,0.0,67.7,77,69.9,77,74.3,77,High,High,High
Agile,Dhule,18,78578.72222222222,False,51.5,0.0,,,10.1625,39.802,0.0,0.0,0.0,0.0,66.0,77,68.5,77,73.6,77,High,High,High
Agile,Jalgaon,21,118699.90476190476,False,52.6,0.0,,,8.879999999999999,37.665,0.0,0.0,0.0,0.0,66.1,77,68.3,77,72.8,77,High,High,High
Agile,Jalna,22,119216.59090909091,False,45.7,0.0,,,8.616499999999998,33.054500000000004,0.0,0.0,0.0,0.0,57.8,77,59.9,77,64.2,77,Medium,Medium,Medium
Agile,Kolhapur,15,114386.06666666667,False,35.0,0.0,,,9.7,40.227999999999994,0.0,0.0,0.0,0.0,49.5,72,51.9,72,56.8,72,Medium,Medium,Medium
Agile,Latur,14,212413.7857142857,False,33.3,0.0,,,9.7515,39.448,0.0,0.0,0.0,0.0,47.6,70,50.0,70,54.9,70,Medium,Medium,Medium
Agile,Mumbai,18,138167.66666666666,False,59.3,0.0,,,9.267,35.709500000000006,0.0,0.0,0.0,0.0,72.3,77,74.6,77,79.3,77,High,High,High
Agile,Nagpur,17,124723.35294117648,False,34.8,0.0,,,9.1105,38.835,0.0,0.0,0.0,0.0,48.7,76,51.0,76,55.6,76,Medium,Medium,Medium
Agile,Nanded,16,173644.4375,False,33.3,0.0,,,8.637,35.605000000000004,0.0,0.0,0.0,0.0,46.1,74,48.3,74,52.6,74,Medium,Medium,Medium
Agile,Nashik,13,107570.76923076923,False,31.6,0.0,,,8.586,37.875,0.0,0.0,0.0,0.0,45.1,68,47.3,68,51.5,68,Medium,Medium,Medium
Agile,Osmanabad,17,121822.76470588235,False,38.1,0.0,,,8.059999999999999,37.4765,0.0,0.0,0.0,0.0,51.4,76,53.4,76,57.4,76,Medium,Medium,Medium
Agile,Parbhani,22,111301.63636363637,False,42.9,0.0,,,9.2835,38.364,0.0,0.0,0.0,0.0,56.7,77,59.1,77,63.7,77,Medium,Medium,Medium
Agile,Pune,18,116420.94444444444,False,47.2,0.0,,,8.681999999999999,40.851,0.0,0.0,0.0,0.0,61.6,77,63.8,77,68.1,77,Medium,Medium,High
Agile,Raigad,10,160407.4,False,25.7,0.0,,,9.9115,39.47,0.0,0.0,0.0,0.0,40.0,62,42.5,62,47.5,62,Medium,Medium,Medium
Agile,Sangli,21,155227.42857142858,False,62.5,0.0,,,9.5185,37.182,0.0,0.0,0.0,0.0,76.0,77,78.4,77,83.2,77,High,High,High
Agile,Satara,25,114798.24,False,60.0,0.0,,,9.8795,40.648,0.0,0.0,0.0,0.0,74.7,77,77.1,77,82.1,77,High,High,High
Agile,Solapur,13,138460.61538461538,False,28.6,0.0,,,9.0745,41.6085,0.0,0.0,0.0,0.0,43.4,68,45.6,68,50.2,68,Medium,Medium,Medium
Agile,Yavatmal,20,109562.8,False,45.2,0.0,,,9.310500000000001,37.6325,0.0,0.0,0.0,0.0,58.8,77,61.1,77,65.8,77,Medium,Medium,High
Ansible,Ahmednagar,4,96323.0,False,7.0,0.0,,,8.46,36.595,0.0,0.0,0.0,0.0,20.1,50,22.2,50,26.4,50,Low,Low,Low
Ansible,Akola,6,138964.83333333334,False,10.6,0.0,,,9.0,33.019,0.0,0.0,0.0,0.0,22.8,54,25.0,54,29.5,54,Low,Low,Low
Ansible,Amravati,4,147724.0,False,9.7,0.0,,,8.8925,37.6035,0.0,0.0,0.0,0.0,23.2,50,25.4,50,29.9,50,Low,Low,Low
Ansible,Aurangabad,5,314266.8,False,10.3,0.0,,,7.6,38.486000000000004,0.0,0.0,0.0,0.0,23.7,52,25.6,52,29.4,52,Low,Low,Low
Ansible,Beed,3,88994.33333333333,False,5.7,0.0,,,9.5965,42.417,0.0,0.0,0.0,0.0,20.8,48,23.2,48,28.0,48,Low,Low,Low
Ansible,Bhiwandi,3,157336.0,False,5.6,0.0,,,8.895,40.1755,0.0,0.0,0.0,0.0,19.9,48,22.1,48,26.5,48,Low,Low,Low
Ansible,Chandrapur,2,240313.0,False,2.4,0.0,,,8.7865,35.588,0.0,0.0,0.0,0.0,15.3,46,17.5,46,21.9,46,Low,Low,Low
Ansible,Dhule,3,113927.66666666667,False,6.1,0.0,,,10.1625,39.802,0.0,0.0,0.0,0.0,20.6,48,23.1,48,28.2,48,Low,Low,Low
Ansible,Jalgaon,3,77196.66666666667,False,5.3,0.0,,,8.879999999999999,37.665,0.0,0.0,0.0,0.0,18.8,48,21.0,48,25.5,48,Low,Low,Low
Ansible,Jalna,2,70063.5,False,2.2,0.0,,,8.616499999999998,33.054500000000004,0.0,0.0,0.0,0.0,14.3,46,16.4,46,20.7,46,Low,Low,Low
Ansible,Kolhapur,4,275810.0,False,7.5,0.0,,,9.7,40.227999999999994,0.0,0.0,0.0,0.0,22.0,50,24.4,50,29.3,50,Low,Low,Low
Ansible,Mumbai,3,118340.66666666667,False,3.7,0.0,,,9.267,35.709500000000006,0.0,0.0,0.0,0.0,16.7,48,19.0,48,23.7,48,Low,Low,Low
Ansible,Nagpur,1,189268.0,False,0.0,0.0,,,9.1105,38.835,0.0,0.0,0.0,0.0,13.9,44,16.2,44,20.8,44,Low,Low,Low
Ansible,Nanded,4,263193.5,False,6.7,0.0,,,8.637,35.605000000000004,0.0,0.0,0.0,0.0,19.5,50,21.7,50,26.0,50,Low,Low,Low
Ansible,Nashik,3,89856.33333333333,False,5.3,0.0,,,8.586,37.875,0.0,0.0,0.0,0.0,18.8,48,21.0,48,25.2,48,Low,Low,Low
Ansible,Osmanabad,5,79148.2,False,9.5,0.0,,,8.059999999999999,37.4765,0.0,0.0,0.0,0.0,22.8,52,24.8,52,28.8,52,Low,Low,Low
Ansible,Parbhani,5,157742.0,False,8.2,0.0,,,9.2835,38.364,0.0,0.0,0.0,0.0,22.0,52,24.4,52,29.0,52,Low,Low,Low
Ansible,Pune,2,22991.5,False,2.8,0.0,,,8.681999999999999,40.851,0.0,0.0,0.0,0.0,17.2,46,19.4,46,23.7,46,Low,Low,Low
Ansible,Raigad,3,83103.0,False,5.7,0.0,,,9.9115,39.47,0.0,0.0,0.0,0.0,20.0,48,22.5,48,27.5,48,Low,Low,Low
Ansible,Sangli,5,158245.2,False,12.5,0.0,,,9.5185,37.182,0.0,0.0,0.0,0.0,26.0,52,28.4,52,33.2,52,Low,Low,Low
Ansible,Satara,3,203889.66666666666,False,5.0,0.0,,,9.8795,40.648,0.0,0.0,0.0,0.0,19.7,48,22.1,48,27.1,48,Low,Low,Low
Ansible,Solapur,6,54742.833333333336,False,11.9,0.0,,,9.0745,41.6085,0.0,0.0,0.0,0.0,26.7,54,28.9,54,33.5,54,Low,Low,Low
Ansible,Yavatmal,5,74764.6,False,9.5,0.0,,,9.310500000000001,37.6325,0.0,0.0,0.0,0.0,23.1,52,25.4,52,30.1,52,Low,Low,Low
Arc Welding,Ahmednagar,4,82404.75,False,7.0,0.0,,,8.46,36.595,0.0,0.0,0.0,0.0,20.1,50,22.2,50,26.4,50,Low,Low,Low
Arc Welding,Akola,3,128419.0,False,4.3,0.0,,,9.0,33.019,0.0,0.0,0.0,0.0,16.5,48,18.7,48,23.2,48,Low,Low,Low
Arc Welding,Amravati,4,127474.5,False,9.7,0.0,,,8.8925,37.6035,0.0,0.0,0.0,0.0,23.2,50,25.4,50,29.9,50,Low,Low,Low
Arc Welding,Aurangabad,9,184182.44444444444,False,20.5,0.0,,,7.6,38.486000000000004,0.0,0.0,0.0,0.0,33.9,60,35.8,60,39.6,60,Low,Medium,Medium
Arc Welding,Beed,4,36127.0,False,8.6,0.0,,,9.5965,42.417,0.0,0.0,0.0,0.0,23.7,50,26.1,50,30.9,50,Low,Low,Low
Arc Welding,Bhiwandi,7,112998.57142857143,False,16.7,0.0,,,8.895,40.1755,0.0,0.0,0.0,0.0,31.0,56,33.2,56,37.6,56,Low,Low,Medium
Arc Welding,Chandrapur,3,127916.0,False,4.8,0.0,,,8.7865,35.588,0.0,0.0,0.0,0.0,17.7,48,19.9,48,24.3,48,Low,Low,Low
Arc Welding,Dhule,7,127475.28571428571,False,18.2,0.0,,,10.1625,39.802,0.0,0.0,0.0,0.0,32.7,56,35.2,56,40.3,56,Low,Medium,Medium
Arc Welding,Jalgaon,6,236133.33333333334,False,13.2,0.0,,,8.879999999999999,37.665,0.0,0.0,0.0,0.0,26.7,54,28.9,54,33.4,54,Low,Low,Low
Arc Welding,Jalna,9,151731.88888888888,False,17.4,0.0,,,8.616499999999998,33.054500000000004,0.0,0.0,0.0,0.0,29.5,60,31.6,60,35.9,60,Low,Low,Medium
Arc Welding,Kolhapur,7,206608.7142857143,False,15.0,0.0,,,9.7,40.227999999999994,0.0,0.0,0.0,0.0,29.5,56,31.9,56,36.8,56,Low,Low,Medium
Arc Welding,Latur,8,128883.375,False,17.9,0.0,,,9.7515,39.448,0.0,0.0,0.0,0.0,32.2,58,34.6,58,39.5,58,Low,Low,Medium
Arc Welding,Mumbai,3,85360.66666666667,False,3.7,0.0,,,9.267,35.709500000000006,0.0,0.0,0.0,0.0,16.7,48,19.0,48,23.7,48,Low,Low,Low
Arc Welding,Nagpur,8,328264.25,False,15.2,0.0,,,9.1105,38.835,0.0,0.0,0.0,0.0,29.1,58,31.4,58,36.0,58,Low,Low,Medium
Arc Welding,Nanded,2,21373.0,False,2.2,0.0,,,8.637,35.605000000000004,0.0,0.0,0.0,0.0,15.0,46,17.2,46,21.5,46,Low,Low,Low
Arc Welding,Nashik,10,168129.2,False,23.7,0.0,,,8.586,37.875,0.0,0.0,0.0,0.0,37.2,62,39.4,62,43.6,62,Medium,Medium,Medium
Arc Welding,Osmanabad,6,51349.666666666664,False,11.9,0.0,,,8.059999999999999,37.4765,0.0,0.0,0.0,0.0,25.2,54,27.2,54,31.2,54,Low,Low,Low
Arc Welding,Parbhani,5,200253.8,False,8.2,0.0,,,9.2835,38.364,0.0,0.0,0.0,0.0,22.0,52,24.4,52,29.0,52,Low,Low,Low
Arc Welding,Pune,10,188080.9,False,25.0,0.0,,,8.681999999999999,40.851,0.0,0.0,0.0,0.0,39.4,62,41.6,62,45.9,62,Medium,Medium,Medium
Arc Welding,Raigad,6,126262.66666666667,False,14.3,0.0,,,9.9115,39.47,0.0,0.0,0.0,0.0,28.6,54,31.1,54,36.1,54,Low,Low,Medium
Arc Welding,Sangli,3,86965.66666666667,False,6.2,0.0,,,9.5185,37.182,0.0,0.0,0.0,0.0,19.7,48,22.1,48,26.9,48,Low,Low,Low
Arc Welding,Satara,4,359306.5,False,7.5,0.0,,,9.8795,40.648,0.0,0.0,0.0,0.0,22.2,50,24.6,50,29.6,50,Low,Low,Low
Arc Welding,Solapur,9,98349.11111111111,False,19.0,0.0,,,9.0745,41.6085,0.0,0.0,0.0,0.0,33.8,60,36.0,60,40.6,60,Low,Medium,Medium
Arc Welding,Yavatmal,5,142796.4,False,9.5,0.0,,,9.310500000000001,37.6325,0.0,0.0,0.0,0.0,23.1,52,25.4,52,30.1,52,Low,Low,Low
Assembly,Ahmednagar,5,231174.0,False,9.3,0.0,,,8.46,36.595,0.0,0.0,0.0,0.0,22.4,52,24.5,52,28.7,52,Low,Low,Low
Assembly,Akola,2,34164.0,False,2.1,0.0,,,9.0,33.019,0.0,0.0,0.0,0.0,14.3,46,16.5,46,21.0,46,Low,Low,Low
Assembly,Amravati,5,155299.0,False,12.9,0.0,,,8.8925,37.6035,0.0,0.0,0.0,0.0,26.4,52,28.6,52,33.1,52,Low,Low,Low
Assembly,Aurangabad,9,160590.11111111112,False,20.5,0.0,,,7.6,38.486000000000004,0.0,0.0,0.0,0.0,33.9,60,35.8,60,39.6,60,Low,Medium,Medium
Assembly,Beed,4,128134.0,False,8.6,0.0,,,9.5965,42.417,0.0,0.0,0.0,0.0,23.7,50,26.1,50,30.9,50,Low,Low,Low
Assembly,Bhiwandi,6,130961.0,False,13.9,0.0,,,8.895,40.1755,0.0,0.0,0.0,0.0,28.2,54,30.4,54,34.8,54,Low,Low,Low
Assembly,Chandrapur,4,163210.0,False,7.1,0.0,,,8.7865,35.588,0.0,0.0,0.0,0.0,20.0,50,22.2,50,26.6,50,Low,Low,Low
Assembly,Dhule,4,252959.75,False,9.1,0.0,,,10.1625,39.802,0.0,0.0,0.0,0.0,23.6,50,26.1,50,31.2,50,Low,Low,Low
Assembly,Jalgaon,4,79835.0,False,7.9,0.0,,,8.879999999999999,37.665,0.0,0.0,0.0,0.0,21.4,50,23.6,50,28.1,50,Low,Low,Low
Assembly,Jalna,5,223216.2,False,8.7,0.0,,,8.616499999999998,33.054500000000004,0.0,0.0,0.0,0.0,20.8,52,22.9,52,27.2,52,Low,Low,Low
Assembly,Kolhapur,9,165402.77777777778,False,20.0,0.0,,,9.7,40.227999999999994,0.0,0.0,0.0,0.0,34.5,60,36.9,60,41.8,60,Low,Medium,Medium
Assembly,Latur,3,43545.333333333336,False,5.1,0.0,,,9.7515,39.448,0.0,0.0,0.0,0.0,19.4,48,21.8,48,26.7,48,Low,Low,Low
Assembly,Mumbai,5,194122.6,False,11.1,0.0,,,9.267,35.709500000000006,0.0,0.0,0.0,0.0,24.1,52,26.4,52,31.1,52,Low,Low,Low
Assembly,Nagpur,5,108399.6,False,8.7,0.0,,,9.1105,38.835,0.0,0.0,0.0,0.0,22.6,52,24.9,52,29.5,52,Low,Low,Low
